"city","country","pop2024","latitude","longitude"
"Zymohiria","Ukraine",9807,48.5853,38.9375
"Zalishchyky","Ukraine",9749,48.6433,25.7379
"Novopskov","Ukraine",9739,49.5464,39.0899
"Bilyts'ke","Ukraine",9718,48.4064,37.1811
"Velyka Dymerka","Ukraine",9606,50.5933,30.9031
"Vradiyivka","Ukraine",9578,47.8619,30.5919
"Andrushivka","Ukraine",9522,50.0229,29.0202
"Velyka Lepetykha","Ukraine",9511,47.1757,33.9436
"Novyy Svit","Ukraine",9488,47.8059,38.0211
"Pustomyty","Ukraine",9434,49.7153,23.913
"Horodenka","Ukraine",9430,48.6727,25.5016
"Tysmenytsya","Ukraine",9426,48.9022,24.8448
"Lyubashivka","Ukraine",9426,47.8372,30.2598
"Tyachiv","Ukraine",9422,48.0118,23.5706
"Uspenka","Ukraine",9400,48.3908,39.1628
"Stary Krym","Ukraine",9370,45.0289,35.0917
"Bilozerka","Ukraine",9348,46.6248,32.4425
"Reshetylivka","Ukraine",9336,49.565,34.0782
"Chervona Sloboda","Ukraine",9333,49.3728,32.1574
"Semenivka","Ukraine",9320,52.1783,32.5818
"Bezlyudivka","Ukraine",9294,49.8755,36.2654
"Dubrovytsya","Ukraine",9285,51.5744,26.565
"Mirnoye","Ukraine",9284,44.9833,34.0616
"Kodyma","Ukraine",9276,48.0988,29.1246
"Irshava","Ukraine",9161,48.3167,23.0385
"Berezivka","Ukraine",9128,47.2043,30.9078
"Monastyryshche","Ukraine",9111,48.9909,29.8047
"Ratne","Ukraine",9081,51.6683,24.5303
"Kryzhopil'","Ukraine",9024,48.3829,28.8662
"Kozova","Ukraine",9019,49.4354,25.1509
"Chornobayivka","Ukraine",8954,46.6941,32.5537
